1,Slovenia,1800,2,2,1
2,Italy,1800,0,0,3
3,Portugal,1800,5,1,0
4,Denmark,1800,5,3,2
5,Bosnia,1800,3,2,2
6,North Macedonia,1800,0,3,1
7,Croatia,1800,7,1,2
8,Romania,1800,2,2,2
9,Monaco,1800,5,0,1
10,Bulgaria,1800,3,0,3
11,Serbia,1800,1,3,3
12,Switzerland,1800,7,0,0
13,Lithuania,1800,1,3,0
14,Montenegro,1800,2,1,0
15,Greece,1800,5,2,0
16,Norway,1800,2,0,2
17,United Kingdom,1800,3,2,3
18,Poland,1800,0,0,2
19,Albania,1800,0,2,0
20,Slovakia,1800,1,1,1
21,Ukraine,1800,7,1,2
22,Hungary,1800,5,1,0
23,Czech Republic,1800,5,3,3
24,Liechtenstein,1800,2,3,0
25,Germany,1800,3,3,3
26,Latvia,1800,3,0,2
27,Belgium,1800,1,1,0
28,Belarus,1800,1,2,1
29,Andorra,1800,7,1,3
30,Malta,1800,5,2,2
31,Moldova,1800,5,0,0
32,France,1800,1,3,3
33,Spain,1800,0,0,3
34,Ireland,1800,5,3,2
35,Sweden,1800,6,3,1
36,Estonia,1800,4,0,0
37,Iceland,1800,1,2,2
38,Netherlands,1800,3,2,2
39,Luxembourg,1800,2,2,3
40,Austria,1800,3,3,2
41,Finland,1801,3,2,1
42,Greece,1801,6,2,1
43,Romania,1801,6,2,0
44,Belarus,1801,6,2,2
45,Iceland,1801,3,0,1
46,Bulgaria,1801,6,2,2
47,Liechtenstein,1801,5,3,3
48,Italy,1801,2,3,3
49,Estonia,1801,2,2,1
50,Bosnia,1801,6,0,1
51,Netherlands,1801,5,1,0
52,Czech Republic,1801,3,3,0
53,Ireland,1801,5,1,3
54,Montenegro,1801,3,0,2
55,Monaco,1801,4,3,2
56,Lithuania,1801,1,3,1
57,Denmark,1801,0,1,0
58,Serbia,1801,5,0,1
59,Austria,1801,2,3,1
60,United Kingdom,1801,0,0,1
61,Switzerland,1801,7,1,1
62,Norway,1801,0,3,2
63,North Macedonia,1801,1,3,2
64,Sweden,1801,2,3,2
65,Hungary,1801,0,1,1
66,Moldova,1801,1,0,2
67,Poland,1801,3,2,0
68,Luxembourg,1801,6,0,0
69,Germany,1801,6,3,0
70,Latvia,1801,7,3,1
71,Portugal,1801,4,1,2
72,Belgium,1801,6,2,0
73,France,1801,5,2,0
74,Russia,1801,0,3,3
75,Croatia,1801,7,2,0
76,Spain,1801,1,0,0
77,Ukraine,1801,3,0,1
78,Slovenia,1801,5,0,0
79,Slovakia,1801,0,2,0
80,Albania,1801,1,1,1
81,Estonia,1802,4,0,1
82,Monaco,1802,6,3,3
83,Montenegro,1802,6,0,2
84,Lithuania,1802,6,2,3
85,Iceland,1802,2,1,0
86,Slovakia,1802,1,1,1
87,Ireland,1802,2,2,1
88,Albania,1802,6,1,3
89,France,1802,7,3,2
90,Slovenia,1802,3,0,0
91,Moldova,1802,5,2,2
92,Romania,1802,0,3,0
93,Russia,1802,6,2,3
94,Sweden,1802,4,1,3
95,Hungary,1802,6,0,1
96,Finland,1802,0,1,0
97,Serbia,1802,7,1,1
98,Denmark,1802,7,1,3
99,Latvia,1802,7,2,1
100,Poland,1802,6,0,0
101,Bulgaria,1802,5,0,3
102,Bosnia,1802,6,0,3
103,Andorra,1802,6,0,3
104,Austria,1802,2,3,0
105,Malta,1802,3,0,3
106,North Macedonia,1802,0,1,2
107,Portugal,1802,3,0,3
108,Spain,1802,1,2,1
109,Norway,1802,5,0,2
110,Czech Republic,1802,5,1,3
111,United Kingdom,1802,7,0,3
112,Switzerland,1802,4,1,1
113,Germany,1802,0,2,2
114,Ukraine,1802,2,3,3
115,Netherlands,1802,1,3,1
116,Belgium,1802,6,3,1
117,Belarus,1802,0,2,2
118,Luxembourg,1802,2,2,0
119,Liechtenstein,1802,5,0,1
120,Croatia,1802,3,0,3
121,Estonia,1803,2,3,2
122,Hungary,1803,0,1,0
123,Luxembourg,1803,1,3,1
124,Denmark,1803,0,2,0
125,Sweden,1803,3,0,2
126,Romania,1803,0,2,0
127,North Macedonia,1803,6,1,1
128,Russia,1803,3,3,1
129,Czech Republic,1803,1,3,1
130,Croatia,1803,3,3,2
131,Ireland,1803,3,3,2
132,Portugal,1803,0,3,2
133,Moldova,1803,6,2,1
134,Greece,1803,1,3,1
135,Malta,1803,6,0,3
136,Belgium,1803,5,1,0
137,Latvia,1803,6,0,0
138,Netherlands,1803,2,2,1
139,Andorra,1803,4,3,0
140,Ukraine,1803,0,0,1
141,Switzerland,1803,6,0,3
142,Albania,1803,1,2,0
143,Norway,1803,6,0,1
144,Bulgaria,1803,6,0,1
145,Montenegro,1803,7,2,1
146,Liechtenstein,1803,1,3,2
147,Austria,1803,2,3,2
148,Lithuania,1803,4,3,1
149,Slovenia,1803,3,3,3
150,France,1803,2,2,3
151,Poland,1803,7,0,2
152,United Kingdom,1803,1,3,0
153,Finland,1803,7,1,0
154,Slovakia,1803,7,0,2
155,Iceland,1803,5,3,1
156,Serbia,1803,0,2,1
157,Spain,1803,4,1,2
158,Italy,1803,0,0,0
159,Bosnia,1803,0,2,3
160,Belarus,1803,3,2,2
161,Slovenia,1804,7,3,1
162,Germany,1804,5,1,1
163,Poland,1804,6,0,0
164,Ireland,1804,4,0,2
165,Ukraine,1804,2,2,0
166,Denmark,1804,4,2,3
